assessmentIdentifier,assessmentTitle,assessmentFamily,namespace
MAP_Growth_Mathematics,MAP Growth,MAP Growth,uri://www.nwea.org/map/Assessment
MAP_Growth_Reading,MAP Growth,MAP Growth,uri://www.nwea.org/map/Assessment
MAP_Growth_Science,MAP Growth,MAP Growth,uri://www.nwea.org/map/Assessment
MAP_Screener_Mathematics,MAP Growth Screener,MAP Growth,uri://www.nwea.org/map/Assessment
MAP_Screener_Reading,MAP Growth Screener,MAP Growth,uri://www.nwea.org/map/Assessment
MAP_Screener_Science,MAP Growth Screener,MAP Growth,uri://www.nwea.org/map/Assessment
