from,to
1,1-Novice-Low
2,2-Novice-Mid
3,3-Novice-High
4,4-Intermediate-Low
5,5-Intermediate-Mid
6,6-Intermediate-High
7,7-Advanced-Low
8,8-Advanced-Mid
9,9-Advanced-High
