identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,academicSubjectDescriptor,has_pls
PREACTSEC_M_PHM_SP,PRE-ACT-SEC,Statistics and Probability,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACTSEC_R,PRE-ACT-SEC,Reading,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,True
PREACTSEC_R_CS,PRE-ACT-SEC,Craft and Structure,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACTSEC_R_IKI,PRE-ACT-SEC,Integration of Knowledge and Ideas,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACTSEC_R_KID,PRE-ACT-SEC,Key Ideas and Details,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACTSEC_S,PRE-ACT-SEC,Science,uri://act.org/,PREACT_STEM_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
PREACTSEC_S_EMIER,PRE-ACT-SEC,"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACTSEC_S_ID,PRE-ACT-SEC,Interpretation of Data,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACTSEC_S_SI,PRE-ACT-SEC,Scientific Investigation,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACT89_STEM,PRE-ACT-89,STEM Composite Indicator,uri://act.org/,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,True
PREACT89_E,PRE-ACT-89,English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,True
PREACT89_E_CSE,PRE-ACT-89,Conventions of Standard English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT89_E_KL,PRE-ACT-89,Knowledge of Language,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT89_E_PW,PRE-ACT-89,Production of Writing,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT89_M,PRE-ACT-89,Mathematics,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
PREACT89_M_IES,PRE-ACT-89,Integrating Essential Skills,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_M,PRE-ACT-89,Modeling,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM,PRE-ACT-89,Preparing for High Math,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM_A,PRE-ACT-89,Algebra,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM_F,PRE-ACT-89,Functions,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM_G,PRE-ACT-89,Geometry,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM_NQ,PRE-ACT-89,Numer and Quantity,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_M_PHM_SP,PRE-ACT-89,Statistics and Probability,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT89_R,PRE-ACT-89,Reading,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,True
PREACT89_R_CS,PRE-ACT-89,Craft and Structure,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT89_R_IKI,PRE-ACT-89,Integration of Knowledge and Ideas,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT89_R_KID,PRE-ACT-89,Key Ideas and Details,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT89_S,PRE-ACT-89,Science,uri://act.org/,PREACT_STEM_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
PREACT89_S_EMIER,PRE-ACT-89,"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACT89_S_ID,PRE-ACT-89,Interpretation of Data,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACT89_S_SI,PRE-ACT-89,Scientific Investigation,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
