assessmentIdentifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor,assessmentFamily
EOCEP-A,EOCEP Algebra 1,uri://ed.sc.gov/,uri://ed.sc.gov/AssessmentCategoryDescriptor#EOCEP,uri://ed.sc.gov/AcademicSubjectDescriptor#Mathematics,EOCEP
EOCEP-B,EOCEP Biology 1,uri://ed.sc.gov/,uri://ed.sc.gov/AssessmentCategoryDescriptor#EOCEP,uri://ed.sc.gov/AcademicSubjectDescriptor#Science,EOCEP
EOCEP-E2,EOCEP English 2,uri://ed.sc.gov/,uri://ed.sc.gov/AssessmentCategoryDescriptor#EOCEP,uri://ed.sc.gov/AcademicSubjectDescriptor#English/Language Arts,EOCEP
EOCEP-H,EOCEP USHC,uri://ed.sc.gov/,uri://ed.sc.gov/AssessmentCategoryDescriptor#EOCEP,uri://ed.sc.gov/AcademicSubjectDescriptor#Social Studies,EOCEP
