assessmentIdentifier,assessmentTitle,assessmentNamespace,assessmentFamily,assessmentCategoryDescriptor,academicSubjectDescriptor,column_mapping
Dominie_Text_Reading_Benchmark_or_Bridge_Level,Dominie  Benchmark or Bridge Level Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,benchmarkorbridgelevel
Dominie_Text_Reading_Equated_Level,Dominie  Equated Level Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,equatedlevel
Dominie_Text_Reading_ACC,Dominie  ACC% Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,acc
Dominie_Text_Reading_Self_Correction_Rate,Dominie Self Correction Rate Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,selfcorrectionrate
Dominie_Text_Reading_WCPM,Dominie  WCPM Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,wcpm
Dominie_Text_Reading_Fluency_Rubric,Dominie  Fluency Rubric Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,fluencyrubric
Dominie_Text_Reading_COMP,Dominie COMP% Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,comp
Dominie_Text_Reading_Meaning,Dominie  % Meaning Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,meaning
Dominie_Text_Reading_Visual,Dominie % Visual Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,visual
Dominie_Phonics_Forms_A_B_Onsets,Dominie Onsets Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,onsets
Dominie_Phonics_Forms_A_B_Rimes,Dominie Rimes Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,rimes
Dominie_Story_Writing_Conventions,Dominie Conventions Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,conventions
Dominie_Story_Writing_Message,Dominie Message Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,message
Dominie_Spelling_Inventory,Dominie Spelling Inventory Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,spellinginventory
