assessmentIdentifier,assessmentTitle,assessmentNamespace,assessmentFamily,assessmentCategoryDescriptor,academicSubjectDescriptor,column_mapping
Dominie_General_Show_Me_Book,Dominie Show Me Book Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,showmebook
Dominie_General_Name_Writing,Dominie Name Writing Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,namewriting
Dominie_General_Letter_Know,Dominie Letter Know Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,letterknow
Dominie_General_Phoneme_Segmentation,Dominie Phoneme Segmentation Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,phonseg
Dominie_General_Phoneme_Deletion,Dominie Phoneme Deletion Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,phondel
Dominie_General_Core_Rdg,Dominie Core Rdg. Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,corerdg
Dominie_General_Core_Wtg_Vocab,Dominie Core Wtg. Vocab. Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,corewtgvocab
Dominie_General_Non_Fic_Show_Me_Book,Dominie Non. Fic. Show Me Book Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,nonficshowmebook
Dominie_Sentence_Writing_Spelling_Phonemes,Dominie Phonemes Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,phon
Dominie_Sentence_Writing_Spelling_Spelling,Dominie Spelling Assessment,uri://pearson.com/Assessments/Dominie,Dominie,uri://pearson.com/Assessments/Dominie/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/academicSubjectDescriptor#Reading,spell
