assessmentIdentifier,gradeLevelDescriptor,originalGrade
PreACT,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade,8
PreACT,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade,9
PreACT,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade,10
