identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,academicSubjectDescriptor
PreACT_Eng,PreACT,English Scale Score,uri://act.og/Assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_Rdg,PreACT,Reading Scale Score,uri://act.og/Assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_STEM,PreACT,STEM Composite Score,uri://act.og/Assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
PreACT_Mat,PreACT,Mathematics Scale Score,uri://act.og/Assessment,PreACT_STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_Sci,PreACT,Science Scale Score,uri://act.og/Assessment,PreACT_STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_E_Earn_Prod,PreACT,Production of Writing Raw Score,uri://act.og/Assessment,PreACT_Eng,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_E_Earn_Knlg,PreACT,Knowledge of Language Raw Score,uri://act.og/Assessment,PreACT_Eng,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_E_Earn_Conv,PreACT,Conventions of Standard English Raw Score,uri://act.og/Assessment,PreACT_Eng,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_M_Earn_Higher,PreACT,Preparing for Higher Math Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_NumQ,PreACT,Number & Quantity Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Alg,PreACT,Algebra Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Func,PreACT,Functions Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Geom,PreACT,Geometry Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Stat,PreACT,Statistics & Probability Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Essen,PreACT,Integrating Essential Skills Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Mod,PreACT,Modeling Raw Score,uri://act.og/Assessment,PreACT_Mat,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_R_Earn_Ideas,PreACT,Key Ideas & Details Raw Score,uri://act.og/Assessment,PreACT_Rdg,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_R_Earn_Struc,PreACT,Craft & Structure Raw Score,uri://act.og/Assessment,PreACT_Rdg,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_R_Earn_Knlg,PreACT,Integration of Knowledge & Ideas Raw Score,uri://act.og/Assessment,PreACT_Rdg,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_S_Earn_Data,PreACT,Interpretation of Data Raw Score,uri://act.og/Assessment,PreACT_Sci,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_S_Earn_Inv,PreACT,Scientific Investigation Raw Score,uri://act.og/Assessment,PreACT_Sci,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_S_Earn_Eval,PreACT,Evaluation of Models Inferences & Experimental Results Raw Score,uri://act.og/Assessment,PreACT_Sci,uri://ed-fi.org/AcademicSubjectDescriptor#Science
