assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,academicSubjectDescriptor,assessmentCategoryNamespace,assessmentCategoryCodeValue,assessmentCategoryDescription
FastBridge_earlyReading,FastBridge early Reading,FastBridge,uri://ed.sc.gov/FastBridge/earlyReading,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading,uri://ed.sc.gov/FastBridge/AssessmentCategoryDescriptor,Early Reading,Early Reading - Screening and progress monitoring
FastBridge_CBMReading,FastBridge CBM Reading,FastBridge,uri://ed.sc.gov/FastBridge/CBMReading,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading,uri://ed.sc.gov/FastBridge/AssessmentCategoryDescriptor,Early Reading,Early Reading - Screening and progress monitoring
