codeValue,description,namespace,shortDescription,datatype,isComparisonPeriodMetric
01,Indicates student's composite score for a given category,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Composite Score,Integer,0
02,Indicates student's performance level at School level based on percentile,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Percentile at School,Percentile,0
03,Indicates student's performance level at LEA level based on percentile,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Percentile at LEA,Percentile,0
04,Indicates student's performance level at National level based on percentile,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Percentile at Nation,Percentile,0
05,Displays the student’s numeric score on total items attempted,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Total Items,Integer,0
06,Displays the student’s numeric score on total items correct,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Items Correct,Integer,0
07,Displays the student’s numeric score on IC per minute,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,IC per minute,Integer,0
08,Displays the student’s numeric score on items incorrect (Total Items - Items Correct),uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Error (Total Items - Items Correct),Integer,0
09,Displays the student’s numeric score on total words read,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Total Words Read,Integer,0
10,Displays the student’s numeric score on total words read correctly,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Words Read Correct,Integer,0
11,Displays the student’s numeric score on WRC per minute,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,WRC per minute,Integer,0
12,Displays the student’s accuracy score using median,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Median Accuracy,Percentage,0
13,Displays the student’s growth score,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Growth Score,Integer,1
14,Displays the student’s growth percentile at school level,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,School Growth Percentile,Percentile,1
15,Displays the student’s growth percentile at district level,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,District Growth Percentile,Percentile,1
16,Displays the student’s growth percentile at national level,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,National Growth Percentile,Percentile,1
17,Displays the student’s growth percentile by start score,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score,Percentile,1
18,Displays the student’s performance level,uri://ed.sc.gov/FastBridge/AssessmentReportingMethodDescriptor,Performance Level,,-1
