assessment_identifier,academicSubjectDescriptor
bess_3_parent,uri://ed-fi.org/AcademicSubjectDescriptor#Other
bess_3_teacher,uri://ed-fi.org/AcademicSubjectDescriptor#Other
bess_3_pk_parent,uri://ed-fi.org/AcademicSubjectDescriptor#Other
bess_3_pk_teacher,uri://ed-fi.org/AcademicSubjectDescriptor#Other
bess_3_student,uri://ed-fi.org/AcademicSubjectDescriptor#Other
